Date,X,Y,Chl-a Reference,Ch-a Estimates,LSAT Reference,LSAT Estimates
7/1/2010,34.6883,-0.136,55.8262291,50.672397,55.8262291,50.672397
,34.8431,-0.28705,32.192482,37.782982,32.192482,37.782982
,34.633,-0.33787,24.7712193,24.716781,24.7712193,24.716781
,34.1963,-0.32962,27.0684681,22.0684681,27.0684681,22.0684681
,34.445,-0.51776,30.1888885,24.7987151,30.1888885,24.7987151
,34.7726,-0.2356,24.7814922,24.7814922,24.7814922,24.7814922
,,,37.9735985,45.7815781,37.9735985,45.7815781
,,,47.6154175,47.6154175,47.6154175,47.6154175
,,,19.8738117,22.9871896,19.8738117,22.9871896
,,,22.8110428,32.6735573,22.8110428,22.8110428
,,,44.3831978,39.7876385,44.3831978,44.3831978
,,,43.2139473,40.6527897,43.2139473,43.2139473
,,,31.3614979,31.3614979,31.3614979,31.3614979
,,,30.2175312,36.2872862,30.2175312,30.2175312
,,,22.3694763,25.9862453,22.3694763,22.3694763
,,,21.0827217,22.7652746,21.0827217,21.0827217
,,,12.7136602,12.7136602,12.7136602,12.7136602
,,,36.6833458,28.78627572,36.6833458,36.6833458
,,,36.1811638,38.8968926,36.1811638,36.1811638
,,,28.3718758,28.6757247,28.3718758,28.3718758
,,,25.3698616,27.9872681,25.3698616,25.3698616
,,,20.2672768,21.7891798,20.2672768,20.2672768
,,,22.6752752,22.2849062,22.849062,22.849062
,,,48.4146805,44.7881581,48.4146805,48.4146805
,,,23.4221497,20.8827872,23.4221497,23.4221497
,,,23.6123867,23.6123867,23.6123867,23.6123867
,,,35.7556686,33.5642622,35.7556686,35.7556686
,,,45.352726,44.7652742,45.352726,45.352726
,,,22.5919514,21.2264722,22.5919514,22.5919514
,,,19.7508106,20.992828,19.7508106,19.7508106
,,,29.3428097,29.3428097,29.3428097,29.3428097
,,,21.4241199,51.4241199,21.4241199,21.4241199
,,,26.5408688,267.782355,26.5408688,26.5408688
,,,32.8923988,32.8923988,32.8923988,32.8923988
,,,45.1595917,54.7652675,45.1595917,45.1595917
,,,60.381546,60.381546,60.381546,60.381546
,,,34.6934929,23.8762562,34.6934929,34.6934929
,,,24.2780361,24.2780361,24.2780361,24.2780361
,,,41.1544456,44.6256722,41.1544456,41.1544456
,,,24.2988873,27.5624562,24.2988873,24.2988873
,,,39.6113853,39.6113853,39.6113853,39.6113853
,,,44.289875,40.7527652,44.289875,44.289875
,,,33.2923622,33.2923622,33.2923622,33.2923622
,,,25.9610672,22.751851,25.9610672,25.9610672
,,,30.5531559,30.5531559,30.5531559,30.5531559
,,,30.6280708,26.7827852,30.6280708,30.6280708
,,,40.4792519,52.862922,40.4792519,40.4792519
,,,40.3820229,40.3820229,40.3820229,40.3820229
,,,30.932972,24.768652,30.932972,30.932972
